So_Lan_Phat_Bieu,So_Lan_Truy_Cap_Tai_Lieu,So_Lan_Xem_Thong_Bao,So_Ngay_Nghi_Hoc,Ket_Qua
15,16,2,Under-7,M
20,20,3,Under-7,M
10,7,0,Above-7,L
30,25,5,Above-7,L
40,50,12,Above-7,M
42,30,13,Above-7,M
35,12,0,Above-7,L
50,10,15,Under-7,M
12,21,16,Under-7,M
70,80,25,Under-7,M
50,88,30,Under-7,H
19,6,19,Under-7,M
5,1,0,Above-7,L
20,14,12,Above-7,L
62,70,44,Above-7,H
30,40,22,Under-7,M
36,30,20,Above-7,M
55,13,35,Above-7,M
69,15,36,Under-7,M
70,50,40,Under-7,H
60,60,33,Above-7,M
10,12,4,Under-7,M
15,21,2,Under-7,M
2,0,2,Above-7,L
0,2,3,Above-7,L
8,7,30,Above-7,L
19,19,25,Under-7,M
25,15,12,Above-7,L
75,85,52,Under-7,M
30,90,33,Under-7,M
35,80,50,Under-7,H
4,5,40,Above-7,L
2,19,10,Above-7,L
8,22,9,Above-7,L
12,11,8,Above-7,L
10,12,17,Above-7,L
8,6,4,Above-7,L
45,54,26,Under-7,M
0,0,0,Above-7,L
50,90,37,Under-7,M
14,13,3,Above-7,L
19,20,16,Under-7,M
10,12,7,Above-7,L
30,35,28,Under-7,M
33,33,30,Under-7,M
20,12,15,Above-7,L
7,10,1,Above-7,L
70,4,39,Under-7,H
13,80,40,Under-7,H
29,39,50,Under-7,M
20,14,12,Above-7,L
39,15,16,Above-7,L
55,90,16,Under-7,M
49,70,19,Under-7,H
12,50,8,Above-7,L
16,14,6,Above-7,L
19,5,4,Above-7,L
5,2,6,Above-7,L
28,60,19,Under-7,M
27,22,22,Under-7,M
21,10,28,Above-7,L
50,70,32,Under-7,M
80,90,70,Under-7,H
17,13,16,Under-7,M
0,5,7,Above-7,L
13,5,18,Above-7,L
25,10,19,Above-7,M
65,75,23,Under-7,H
70,69,35,Under-7,H
39,40,11,Under-7,M
22,30,10,Above-7,L
29,22,9,Under-7,M
11,2,2,Under-7,L
19,30,26,Above-7,M
12,0,6,Under-7,L
50,90,29,Under-7,M
15,70,37,Under-7,M
20,80,33,Under-7,M
13,3,11,Above-7,L
80,90,49,Under-7,H
8,15,10,Under-7,L
8,25,1,Above-7,L
7,5,2,Above-7,L
7,4,10,Above-7,M
50,70,50,Above-7,H
1,0,1,Above-7,L
70,12,40,Under-7,H
19,70,3,Under-7,L
3,12,4,Under-7,L
5,20,1,Above-7,L
4,8,10,Above-7,L
80,90,55,Under-7,H
50,70,19,Under-7,H
55,89,40,Under-7,H
80,44,35,Above-7,L
100,80,2,Under-7,H
14,60,11,Under-7,H
6,2,38,Under-7,M
10,3,0,Under-7,M
50,7,9,Above-7,M
50,90,40,Under-7,M
70,92,50,Under-7,H
